,id,lon,lat,geometry
785,661520.0,-16.238763788405,16.23020833736499,POINT (-16.238763788405 16.23020833736499)
787,676384.0,-16.282513788335,16.21979167071499,POINT (-16.282513788335 16.21979167071499)
788,676385.0,-16.280430455004996,16.21979167071499,POINT (-16.280430455004996 16.21979167071499)
791,706157.0,-16.276263788345,16.19895833741499,POINT (-16.276263788345 16.19895833741499)
792,709113.0,-16.320013788275,16.19687500408499,POINT (-16.320013788275 16.19687500408499)
793,709117.0,-16.311680454955,16.19687500408499,POINT (-16.311680454955 16.19687500408499)
794,715066.0,-16.322097121604997,16.19270833742499,POINT (-16.322097121604997 16.19270833742499)
796,726990.0,-16.288763788324996,16.18437500410499,POINT (-16.288763788324996 16.18437500410499)
798,738897.0,-16.290847121655,16.17604167078499,POINT (-16.290847121655 16.17604167078499)
799,741874.0,-16.290847121655,16.17395833745499,POINT (-16.290847121655 16.17395833745499)
801,744847.0,-16.299180454974998,16.17187500412499,POINT (-16.299180454974998 16.17187500412499)
802,744850.0,-16.292930454984997,16.17187500412499,POINT (-16.292930454984997 16.17187500412499)
803,750801.0,-16.299180454974998,16.16770833746499,POINT (-16.299180454974998 16.16770833746499)
804,750802.0,-16.297097121645,16.16770833746499,POINT (-16.297097121645 16.16770833746499)
807,765681.0,-16.309597121624996,16.15729167081499,POINT (-16.309597121624996 16.15729167081499)
809,783534.0,-16.328347121594998,16.14479167083499,POINT (-16.328347121594998 16.14479167083499)
811,807344.0,-16.340847121574996,16.128125004194988,POINT (-16.340847121574996 16.128125004194988)
817,828156.0,-16.397097121484997,16.113541670884988,POINT (-16.397097121484997 16.113541670884988)
818,831133.0,-16.397097121484997,16.11145833755499,POINT (-16.397097121484997 16.11145833755499)
819,831134.0,-16.395013788154998,16.11145833755499,POINT (-16.395013788154998 16.11145833755499)
